n;33
m;4
tmax;16.2
19.1;24.3;0;0;0;0;0;0;0
12.6;24.9;20;2.884160498;0.47238;3.09871;0.65274;2.88653;0.50848
14.4;28;20;2.884160498;0.47238;3.09871;0.65274;2.88653;0.50848
16.9;28.1;20;2.884160498;0.47238;3.09871;0.65274;2.88653;0.50848
20.7;28.2;20;2.884160498;0.47238;3.09871;0.65274;2.88653;0.50848
12.5;26.6;20;2.884160498;0.47238;3.09871;0.65274;2.88653;0.50848
21.8;27.3;20;2.884160498;0.47238;3.09871;0.65274;2.88653;0.50848
12.5;22.6;20;2.884160498;0.47238;3.09871;0.65274;2.88653;0.50848
22.5;17;30;3.324122042;0.39262;3.16903;0.44877;3.29859;0.38977
19.9;15;30;3.324122042;0.39262;3.16903;0.44877;3.29859;0.38977
14.9;15.1;30;3.324122042;0.39262;3.16903;0.44877;3.29859;0.38977
11.5;18.6;30;3.324122042;0.39262;3.16903;0.44877;3.29859;0.38977
12.4;29.8;30;3.324122042;0.39262;3.16903;0.44877;3.29859;0.38977
17.8;28.1;30;3.324122042;0.39262;3.16903;0.44877;3.29859;0.38977
9.1;29.8;40;3.629987936;0.3432;3.82737;0.33136;3.65645;0.3367
10;32.6;40;3.629987936;0.3432;3.82737;0.33136;3.65645;0.3367
13.9;33.1;40;3.629987936;0.3432;3.82737;0.33136;3.65645;0.3367
19.95;10.3;40;3.629987936;0.3432;3.82737;0.33136;3.65645;0.3367
15.2;8;40;3.629987936;0.3432;3.82737;0.33136;3.65645;0.3367
14.7;31.2;50;3.864367916;0.30872;3.93103;0.34215;3.88564;0.28956
7.4;36.5;50;3.864367916;0.30872;3.93103;0.34215;3.88564;0.28956
21;25.5;50;3.864367916;0.30872;3.93103;0.34215;3.88564;0.28956
18;25.3;10;2.099852539;0.63676;2.79112;0.22072;2.87605;0.45112
19.5;24.7;10;2.099852539;0.63676;2.79112;0.22072;2.87605;0.45112
21.4;21.8;10;2.099852539;0.63676;2.79112;0.22072;2.87605;0.45112
16;21.4;10;2.099852539;0.63676;2.79112;0.22072;2.87605;0.45112
18.65;26.2;10;2.099852539;0.63676;2.79112;0.22072;2.87605;0.45112
17.9;28.9;10;2.099852539;0.63676;2.79112;0.22072;2.87605;0.45112
14.3;19.9;20;2.884160498;0.47238;3.09871;0.65274;2.88653;0.50848
17;19;20;2.884160498;0.47238;3.09871;0.65274;2.88653;0.50848
10.8;21;20;2.884160498;0.47238;3.09871;0.65274;2.88653;0.50848
15.7;23.7;10;2.099852539;0.63676;2.79112;0.22072;2.87605;0.45112
18.2;24;0;0;0;0;0;0;0
